src,dst
243,316
244,316
259,316
315,316
317,316
333,316
244,317
245,317
316,317
318,317
330,317
333,317
245,318
246,318
317,318
319,318
330,318
338,318
246,319
247,319
276,319
318,319
327,319
338,319
104,320
190,320
252,320
328,320
335,320
337,320
340,320
106,321
191,321
255,321
329,321
332,321
339,321
343,321
94,322
181,322
254,322
330,322
333,322
338,322
342,322
93,323
180,323
253,323
331,323
334,323
336,323
341,323
223,324
224,324
248,324
297,324
298,324
207,325
208,325
250,325
282,325
283,325
231,326
232,326
251,326
304,326
305,326
200,327
247,327
249,327
276,327
319,327
306,328
307,328
320,328
335,328
337,328
295,329
296,329
321,329
332,329
339,329
317,330
318,330
322,330
333,330
338,330
284,331
285,331
323,331
334,331
336,331
191,332
268,332
294,332
295,332
321,332
329,332
181,333
259,333
316,333
317,333
322,333
330,333
180,334
258,334
285,334
286,334
323,334
331,334
190,335
267,335
307,335
308,335
320,335
328,335
282,336
283,336
284,336
323,336
331,336
341,336
304,337
305,337
306,337
320,337
328,337
340,337
276,338
318,338
319,338
322,338
330,338
342,338
296,339
297,339
298,339
321,339
329,339
343,339
252,340
303,340
304,340
320,340
337,340
349,340
253,341
281,341
282,341
323,341
336,341
348,341
254,342
276,342
277,342
322,342
338,342
347,342
255,343
298,343
299,343
321,343
339,343
346,343
92,344
253,344
256,344
279,344
348,344
105,345
252,345
257,345
301,345
349,345
255,346
257,346
299,346
300,346
343,346
254,347
256,347
277,347
278,347
342,347
253,348
279,348
280,348
281,348
341,348
344,348
252,349
301,349
302,349
303,349
340,349
345,349
