node_id,x,y
115,0.113468399397138,-0.300194049586885
116,-0.385652428775602,-0.735968252825011
117,-0.312873084543848,-0.728321478972282
118,-0.232058858971029,-0.73098443698393
119,-0.153304071629849,-0.732043514955628
120,-0.0769230769230774,-0.733885381327022
121,-6.06035040299146e-16,-0.733885381327022
122,0.0789245867471164,-0.736515083069706
123,0.154976182426546,-0.734636117544612
124,0.233001374293777,-0.731947950981816
125,0.312712085636329,-0.728050144961213
126,0.385652428775602,-0.735968252825011
127,0.443055901459109,-0.68376135423857
128,0.432323757817844,-0.611724666169015
129,0.434266051834179,-0.533333333333333
130,0.434266051834179,-0.457142857142857
131,0.434266051834179,-0.380952380952381
132,0.434266051834179,-0.304761904761904
133,0.434266051834179,-0.228571428571428
134,0.434266051834179,-0.152380952380952
135,0.434266051834179,-0.0761904761904757
136,0.434266051834179,5.62050406216485e-16
137,0.434266051834179,0.0761904761904769
138,0.43426605183418,0.152380952380953
139,0.434266051834179,0.228571428571429
140,0.434266051834179,0.304761904761905
141,0.43426605183418,0.380952380952381
142,0.43426605183418,0.457142857142857
143,0.432724980444386,0.53564274192345
144,0.427642866746799,0.613540773021466
145,0.436926910229357,0.68543721791061
146,0.38576483432636,0.736184485788467
147,0.31126423598199,0.728186952794874
148,0.231208223698237,0.73088557856444
149,0.153132614322944,0.731980978011945
150,0.0769230769230773,0.733885381327022
151,5.99153605432109e-16,0.733885381327022
152,-0.080559255675035,0.736282670816225
153,-0.157530768997962,0.732512717655042
154,-0.232464054210263,0.731370449922434
155,-0.311598888454562,0.728820785874263
156,-0.385652428775602,0.735968252825011
157,-0.436827928383988,0.685081065062179
158,-0.42770732484123,0.613422658869111
159,-0.433442031959547,0.535506571113414
160,-0.434266051834179,0.457142857142857
161,-0.434266051834179,0.380952380952381
162,-0.434266051834179,0.304761904761904
163,-0.434266051834179,0.228571428571428
164,-0.434266051834179,0.152380952380952
165,-0.434266051834179,0.0761904761904756
166,-0.434266051834179,-5.55111512312578e-16
167,-0.434266051834179,-0.0761904761904769
168,-0.43426605183418,-0.152380952380953
169,-0.434266051834179,-0.228571428571429
170,-0.434266051834179,-0.304761904761905
171,-0.43426605183418,-0.380952380952381
172,-0.43426605183418,-0.457142857142857
173,-0.433906825923919,-0.534905493029697
174,-0.432796898801652,-0.612057675288184
175,-0.443055901459109,-0.68376135423857
176,-0.44790225668632,0.747895071615892
177,-0.447902256686321,-0.747895071615892
178,0.44790225668632,-0.747895071615892
179,0.448417323594123,0.748704479445507
180,0.175417519464215,-0.337363062273329
181,-0.175383200308725,-0.338544225858429
182,-0.17743818806738,-0.256539652153803
183,-0.17928015002495,-0.178401943074527
184,-0.17870694546484,-0.104590945632762
185,-0.17236250699435,-0.0345263225013421
186,-0.175312503722389,0.0363699853379925
187,-0.178233528295865,0.106110722800349
188,-0.179203824505089,0.178880202170524
189,-0.178244435493011,0.25388519926489
190,-0.175192148267979,0.336894619904594
191,0.17541869606795,0.338169294152538
192,0.177121039174147,0.255319812645978
193,0.179058426960099,0.178940049900144
194,0.177785482097242,0.105736279004739
195,0.171948593356533,0.0349485226857795
196,0.175325778993276,-0.036027426878774
197,0.178664462195911,-0.106013249762465
198,0.179720433656922,-0.178046092817735
199,0.177373351322032,-0.255306133008897
200,-0.272313577127025,-0.662835090996693
201,-0.191685215007359,-0.662459686229896
202,-0.111695852334173,-0.663996880707512
203,-0.0290262359190383,-0.660516597583991
204,0.0411855969951543,-0.668332860732277
205,0.118516051185829,-0.673105929805746
206,0.19511212495353,-0.666222770907596
207,0.272024115634698,-0.662116184504226
208,0.365336215434482,-0.574818837595771
209,0.36637224662923,-0.500714651576757
210,0.370186339210873,-0.422201776915025
211,0.370473470704783,-0.346472494081982
212,0.369347886963788,-0.270062869886561
213,0.36962006911745,-0.19361970805284
214,0.369941692105106,-0.116679135463962
215,0.368532103668359,-0.0380952380952376
216,0.367201957518413,0.0392600751751105
217,0.36942622002092,0.118001214504097
218,0.370090805159865,0.19507929799831
219,0.369297933662014,0.270102778026993
220,0.370299460560596,0.346616463950198
221,0.370212568050369,0.422638259738375
222,0.367648105982699,0.499931808073408
223,0.365482483934846,0.576511027518829
224,0.269792082051878,0.662473319766856
225,0.190778439666833,0.662059654572576
226,0.111302187243719,0.663963989301326
227,0.0289663770530379,0.660557003915033
228,-0.0412100620813927,0.668355331994518
229,-0.118646678006782,0.673325724553181
230,-0.192776018875126,0.663244537045176
231,-0.269555628688873,0.662774424942785
232,-0.366338497589082,0.575516856756965
233,-0.370539454754101,0.499447413290007
234,-0.370902035827823,0.420999986128441
235,-0.370630268890528,0.345652275725433
236,-0.369418751527961,0.269584863023888
237,-0.369604094998308,0.193553295880154
238,-0.369761577412503,0.117084692925033
239,-0.368532103668359,0.0380952380952375
